"ISIC_unique_code","ISIC_section","ISIC_division","ISIC_group","ISIC_class","ISIC_level_used","Ecosystem_Service","loss","cost","score","rating","ISIC_cat"
"A_1_14_141","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of cattle and buffaloes","Class","Biomass",NA,NA,6,"VH","Agriculture"
"A_1_14_141","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of cattle and buffaloes","Class","Waste_rem",NA,NA,4,"M","Agriculture"
"A_1_14_141","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of cattle and buffaloes","Class","Soil_ret",NA,NA,6,"VH","Agriculture"
"A_1_14_141","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of cattle and buffaloes","Class","Water_purif",NA,NA,5,"H","Agriculture"
"A_1_14_141","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of cattle and buffaloes","Class","Soil_qual",NA,NA,5,"H","Agriculture"
"A_1_14_141","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of cattle and buffaloes","Class","Other_atmo_dilution",NA,NA,3,"L","Agriculture"
"A_1_14_141","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of cattle and buffaloes","Class","Bio_control",NA,NA,4,"M","Agriculture"
"A_1_14_141","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of cattle and buffaloes","Class","Air_filt",NA,NA,4,"M","Agriculture"
"A_1_14_141","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of cattle and buffaloes","Class","Flood_mitig",NA,NA,4,"M","Agriculture"
"A_1_14_141","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of cattle and buffaloes","Class","Gen_mat",NA,NA,4,"M","Agriculture"
"A_1_14_141","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of cattle and buffaloes","Class","Climate_global",NA,NA,4,"M","Agriculture"
"A_1_14_141","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of cattle and buffaloes","Class","Water_supply",NA,NA,5,"H","Agriculture"
"A_1_14_141","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of cattle and buffaloes","Class","Habitat_maint",NA,NA,2,"VL","Agriculture"
"A_1_14_141","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of cattle and buffaloes","Class","Noise_atten",NA,NA,2,"VL","Agriculture"
"A_1_14_141","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of cattle and buffaloes","Class","Other_sens_med",NA,NA,NA,"VL","Agriculture"
"A_1_14_141","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of cattle and buffaloes","Class","Climate_local",NA,NA,4,"M","Agriculture"
"A_1_14_141","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of cattle and buffaloes","Class","Storm_mitig",NA,NA,5,"H","Agriculture"
"A_1_14_141","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of cattle and buffaloes","Class","Water_flow_reg",NA,NA,9,"H","Agriculture"
"A_1_14_141","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of cattle and buffaloes","Class","Rain_reg",NA,NA,6,"VH","Agriculture"
"A_1_14_141","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of cattle and buffaloes","Class","Educ",NA,NA,NA,"VH","Agriculture"
"A_1_14_141","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of cattle and buffaloes","Class","Spirit_art",NA,NA,NA,"VH","Agriculture"
"A_1_14_145","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of swine/pigs","Class","Biomass",NA,NA,5,"H","Agriculture"
"A_1_14_145","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of swine/pigs","Class","Waste_rem",NA,NA,4,"M","Agriculture"
"A_1_14_145","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of swine/pigs","Class","Soil_ret",NA,NA,4,"M","Agriculture"
"A_1_14_145","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of swine/pigs","Class","Water_purif",NA,NA,5,"H","Agriculture"
"A_1_14_145","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of swine/pigs","Class","Soil_qual",NA,NA,5,"H","Agriculture"
"A_1_14_145","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of swine/pigs","Class","Other_atmo_dilution",NA,NA,3,"L","Agriculture"
"A_1_14_145","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of swine/pigs","Class","Bio_control",NA,NA,4,"M","Agriculture"
"A_1_14_145","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of swine/pigs","Class","Air_filt",NA,NA,4,"M","Agriculture"
"A_1_14_145","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of swine/pigs","Class","Flood_mitig",NA,NA,4,"M","Agriculture"
"A_1_14_145","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of swine/pigs","Class","Gen_mat",NA,NA,4,"M","Agriculture"
"A_1_14_145","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of swine/pigs","Class","Climate_global",NA,NA,4,"M","Agriculture"
"A_1_14_145","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of swine/pigs","Class","Water_supply",NA,NA,5,"H","Agriculture"
"A_1_14_145","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of swine/pigs","Class","Habitat_maint",NA,NA,2,"VL","Agriculture"
"A_1_14_145","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of swine/pigs","Class","Noise_atten",NA,NA,2,"VL","Agriculture"
"A_1_14_145","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of swine/pigs","Class","Other_sens_med",NA,NA,NA,"VL","Agriculture"
"A_1_14_145","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of swine/pigs","Class","Climate_local",NA,NA,4,"M","Agriculture"
"A_1_14_145","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of swine/pigs","Class","Storm_mitig",NA,NA,5,"H","Agriculture"
"A_1_14_145","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of swine/pigs","Class","Water_flow_reg",NA,NA,9,"H","Agriculture"
"A_1_14_145","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of swine/pigs","Class","Rain_reg",NA,NA,6,"VH","Agriculture"
"A_1_14_145","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of swine/pigs","Class","Spirit_art",NA,NA,NA,"VH","Agriculture"
"A_1_14_146","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of poultry","Class","Biomass",NA,NA,5,"H","Agriculture"
"A_1_14_146","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of poultry","Class","Waste_rem",NA,NA,4,"M","Agriculture"
"A_1_14_146","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of poultry","Class","Soil_ret",NA,NA,4,"M","Agriculture"
"A_1_14_146","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of poultry","Class","Water_purif",NA,NA,5,"H","Agriculture"
"A_1_14_146","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of poultry","Class","Soil_qual",NA,NA,3,"L","Agriculture"
"A_1_14_146","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of poultry","Class","Other_atmo_dilution",NA,NA,3,"L","Agriculture"
"A_1_14_146","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of poultry","Class","Bio_control",NA,NA,4,"M","Agriculture"
"A_1_14_146","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of poultry","Class","Air_filt",NA,NA,4,"M","Agriculture"
"A_1_14_146","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of poultry","Class","Flood_mitig",NA,NA,4,"M","Agriculture"
"A_1_14_146","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of poultry","Class","Gen_mat",NA,NA,4,"M","Agriculture"
"A_1_14_146","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of poultry","Class","Climate_global",NA,NA,4,"M","Agriculture"
"A_1_14_146","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of poultry","Class","Water_supply",NA,NA,4,"M","Agriculture"
"A_1_14_146","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of poultry","Class","Habitat_maint",NA,NA,2,"VL","Agriculture"
"A_1_14_146","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of poultry","Class","Noise_atten",NA,NA,2,"VL","Agriculture"
"A_1_14_146","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of poultry","Class","Other_sens_med",NA,NA,NA,"VL","Agriculture"
"A_1_14_146","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of poultry","Class","Climate_local",NA,NA,4,"M","Agriculture"
"A_1_14_146","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of poultry","Class","Storm_mitig",NA,NA,5,"H","Agriculture"
"A_1_14_146","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of poultry","Class","Water_flow_reg",NA,NA,9,"H","Agriculture"
"A_1_14_146","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of poultry","Class","Rain_reg",NA,NA,6,"VH","Agriculture"
"A_1_14_146","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Animal production","Raising of poultry","Class","Spirit_art",NA,NA,NA,"VH","Agriculture"
"A_1_11_111","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Growing of non-perennial crops","Growing of cereals (except rice), leguminous crops and oil seeds","Class","Other_prov",NA,NA,4,"M","Agriculture"
"A_1_11_111","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Growing of non-perennial crops","Growing of cereals (except rice), leguminous crops and oil seeds","Class","Biomass",NA,NA,6,"VH","Agriculture"
"A_1_11_111","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Growing of non-perennial crops","Growing of cereals (except rice), leguminous crops and oil seeds","Class","Waste_rem",NA,NA,4,"M","Agriculture"
"A_1_11_111","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Growing of non-perennial crops","Growing of cereals (except rice), leguminous crops and oil seeds","Class","Soil_ret",NA,NA,6,"VH","Agriculture"
"A_1_11_111","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Growing of non-perennial crops","Growing of cereals (except rice), leguminous crops and oil seeds","Class","Water_purif",NA,NA,6,"VH","Agriculture"
"A_1_11_111","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Growing of non-perennial crops","Growing of cereals (except rice), leguminous crops and oil seeds","Class","Soil_qual",NA,NA,6,"VH","Agriculture"
"A_1_11_111","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Growing of non-perennial crops","Growing of cereals (except rice), leguminous crops and oil seeds","Class","Other_atmo_dilution",NA,NA,4,"M","Agriculture"
"A_1_11_111","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Growing of non-perennial crops","Growing of cereals (except rice), leguminous crops and oil seeds","Class","Bio_control",NA,NA,5,"H","Agriculture"
"A_1_11_111","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Growing of non-perennial crops","Growing of cereals (except rice), leguminous crops and oil seeds","Class","Air_filt",NA,NA,4,"M","Agriculture"
"A_1_11_111","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Growing of non-perennial crops","Growing of cereals (except rice), leguminous crops and oil seeds","Class","Flood_mitig",NA,NA,5,"H","Agriculture"
"A_1_11_111","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Growing of non-perennial crops","Growing of cereals (except rice), leguminous crops and oil seeds","Class","Gen_mat",NA,NA,6,"VH","Agriculture"
"A_1_11_111","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Growing of non-perennial crops","Growing of cereals (except rice), leguminous crops and oil seeds","Class","Climate_global",NA,NA,6,"VH","Agriculture"
"A_1_11_111","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","Growing of non-perennial crops","Growing of cereals (except rice), leguminous crops and oil seeds","Class","Water_supply",NA,NA,5,"H","Agriculture"
